element,id,geometry
way,1318223445,"LINESTRING (428120.2228936376 4579998.631087609, 428119.2717773889 4579993.810750627, 428114.03980785044 4579972.278564065, 428096.1924888319 4579912.577542321, 428091.30487647955 4579897.10414677)"
way,1318223446,"LINESTRING (428091.30487647955 4579897.10414677, 428089.2468915449 4579891.16229511, 428086.9885172467 4579886.0995616885, 428083.5147712012 4579876.563308138, 428082.3195478349 4579873.277599239)"
way,1318225275,"LINESTRING (428565.1039915796 4581486.487279891, 428562.5567573948 4581485.124525327, 428558.2522137359 4581482.790936285, 428552.27981682227 4581479.230266563)"
way,1318225276,"LINESTRING (428552.27981682227 4581479.230266563, 428549.15059367195 4581477.362520349, 428543.38116455567 4581474.03301792, 428530.87829909456 4581467.139269744, 428449.59915842314 4581420.054424929, 428442.74620190606 4581412.016955436)"
way,1318225723,"LINESTRING (431925.3723285693 4582447.432665043, 431930.1731086501 4582452.039637944, 431957.2227504095 4582477.999292068, 431958.8511088634 4582479.56059886, 431976.49318110495 4582496.493268914, 431999.4862443148 4582519.659948296, 432001.3347663859 4582521.518973964, 432002.9214082552 4582523.091784767, 432004.23059592536 4582524.500657817, 432008.91694006114 4582529.397428927)"
way,1318225724,"LINESTRING (431914.6296773122 4582436.9082165, 431920.6635069274 4582442.824831022, 431925.3723285693 4582447.432665043)"
way,1318225725,"LINESTRING (431734.8991226605 4582259.544279378, 431738.1301133736 4582262.578216225, 431748.1449628714 4582273.009342382, 431753.24674892845 4582278.479386665)"
way,1318225726,"LINESTRING (431753.24674892845 4582278.479386665, 431762.8944160042 4582288.103484932, 431769.4809224749 4582294.96961519)"
way,1318225730,"LINESTRING (431769.4809224749 4582294.96961519, 431771.8429016068 4582297.179038893, 431773.87505284423 4582298.991867632, 431781.3765003095 4582306.237990939, 431816.151922272 4582340.962240916, 431822.1372111079 4582347.034672404)"
way,1318225731,"LINESTRING (431822.1372111079 4582347.034672404, 431823.73239474825 4582348.618467627, 431830.88165967935 4582355.768029473)"
way,1318229024,"LINESTRING (431624.1565927669 4587823.533111012, 431623.2734801583 4587822.031461774, 431620.29082947265 4587815.853123331, 431603.06728804356 4587781.863373944, 431584.8096047014 4587747.206167892, 431580.81771121075 4587739.449673119, 431574.3060862918 4587726.76511198, 431560.53442137025 4587692.065522284, 431547.703098859 4587662.275656857, 431539.3596816687 4587634.3863430135, 431536.9253348839 4587626.12659903, 431535.4285213616 4587620.700331425)"
way,1318229025,"LINESTRING (431535.4285213616 4587620.700331425, 431534.2778645607 4587616.536521503, 431532.554267539 4587610.102034506)"
way,1318229036,"LINESTRING (428685.60651932267 4581554.538186337, 428679.3947124434 4581551.279549233, 428674.28749082703 4581548.098868127)"
way,1318229037,"LINESTRING (428674.28749082703 4581548.098868127, 428670.9074846891 4581546.233538996)"
way,1318231955,"LINESTRING (428333.06189869257 4581944.442941845, 428338.5903000305 4581950.483774349, 428343.50264448195 4581955.109527393, 428354.3571112327 4581966.182845138, 428390.44230304577 4582002.110509542, 428403.8600814297 4582015.356946417)"
way,1318231956,"LINESTRING (428403.8600814297 4582015.356946417, 428406.19041355146 4582017.632227137, 428418.27251854376 4582029.415197569)"
way,1318231963,"LINESTRING (428418.27251854376 4582029.415197569, 428426.1172597379 4582037.176371054, 428482.37130273716 4582092.7017994635, 428485.234018268 4582095.549202237, 428489.8978661824 4582100.4328716975, 428495.4522400334 4582108.283342154, 428497.32642643934 4582110.096829774, 428498.7366021374 4582111.492985576)"
way,1318231964,"LINESTRING (428498.7366021374 4582111.492985576, 428502.8311614124 4582115.460737633, 428511.4675532195 4582123.813746658)"
way,1318231965,"LINESTRING (428511.4675532195 4582123.813746658, 428513.85634278896 4582126.0884840265, 428517.419223306 4582127.019285445, 428523.17420751887 4582132.325224506, 428543.7668413437 4582152.462671357, 428581.19457173644 4582189.055291865, 428588.3625571145 4582196.057204023)"
way,1318231966,"LINESTRING (428588.3625571145 4582196.057204023, 428596.4692933197 4582204.137958473, 428608.9165274642 4582216.550504939)"
way,1318231975,"LINESTRING (428704.82941428095 4582310.636000151, 428714.56281693594 4582320.055432031, 428762.22638721304 4582368.883602973, 428763.2491750529 4582372.559719142)"
way,1318231976,"LINESTRING (428684.68330065545 4582290.749082646, 428693.8275786392 4582299.774581294, 428704.82941428095 4582310.636000151)"
way,1318234626,"LINESTRING (431639.9844859548 4587304.132844724, 431632.58368067304 4587306.134702387)"
way,1318234627,"LINESTRING (431632.58368067304 4587306.134702387, 431626.8246816032 4587307.688033746, 431622.74090587965 4587308.792518926)"
way,1318234629,"LINESTRING (431464.6989515371 4587351.457945589, 431460.665141586 4587352.539844089)"
way,1318234630,"LINESTRING (431474.65826539067 4587348.765498481, 431468.724302711 4587350.365026581, 431464.6989515371 4587351.457945589)"
way,1318234631,"LINESTRING (431460.665141586 4587352.539844089, 431458.46979505103 4587343.067642117, 431457.55309313413 4587338.912730266, 431455.22263286303 4587328.409237201, 431444.3840016947 4587296.5133147305, 431441.9667649613 4587290.962555048, 431438.353751068 4587282.66960405, 431429.8836122372 4587269.703953421)"
way,1318234632,"LINESTRING (431465.6109402027 4587369.225095403, 431462.7126491959 4587359.637420544, 431460.665141586 4587352.539844089)"
way,1318237410,"LINESTRING (429180.9467486751 4581795.853849159, 429179.0130392838 4581794.784664321, 429135.94029497996 4581770.834906736)"
way,1318237412,"LINESTRING (429187.91789107193 4581799.849381477, 429184.7217585783 4581797.948711865, 429180.9467486751 4581795.853849159)"
way,1318239257,"LINESTRING (428979.1268829921 4582007.108112714, 428981.0184545453 4582008.999273011, 428982.8930855743 4582010.868393997)"
way,1318239258,"LINESTRING (428967.73508398747 4581995.7060617525, 428979.1268829921 4582007.108112714)"
way,1318239259,"LINESTRING (429081.16543995927 4582107.911245312, 429096.18702569226 4582122.853083689)"
way,1318239260,"LINESTRING (429072.9409048947 4582099.708980748, 429077.0361270219 4582103.776970011, 429081.16543995927 4582107.911245312)"
way,1318443572,"LINESTRING (425449.6731746489 4582183.240678813, 425451.1747140535 4582182.081614267, 425501.5857001152 4582146.954879316, 425505.6917858786 4582143.7482910585)"
way,1318443573,"LINESTRING (425441.01295133104 4582189.17000084, 425445.0068479156 4582186.441962349, 425447.82987092773 4582184.5031879665, 425449.6731746489 4582183.240678813)"
