Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,144,3,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,167,4,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,189,4,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,296,5,1
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,296,5,2
2024-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,..,6,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,18,1,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,5,1,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,125,2,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,113,2,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,153,3,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,173,3,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,197,4,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,203,4,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,340,5,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,316,5,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,..,1,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,..,1,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,70,2,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,84,2,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,89,3,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,135,3,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,125,4,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,148,4,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,184,5,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,159,5,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,..,6,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,11,1,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,8,1,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,60,2,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,74,2,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,102,3,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,115,3,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,92,4,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,88,4,2
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,193,5,1
2024-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,167,5,2
