station_id,name,neighborhood,explanatory_score_0_100,explanatory_score_percentile,bikes_ratio_capacity_mean,target_percentile_0_100,structural_gap_score,score_interpretation,pred__xgboost,prediction_percentile_0_100,predictive_gap,predictive_interpretation
381,"C/ AGUSTÍ DURAN I SANPERE, 10",el Raval,44.93,37.57,0.412769764123601,69.8,-32.23,Infravalorada por score,0.44950256,74.95,-0.036733,Sobrepredicha por modelo
165,"C/ DEL DOCTOR TRUETA, 222",el Poblenou,54.62,60.77,0.6112591258375341,92.82,-32.05,Infravalorada por score,0.626853,97.97,-0.015594,Sobrepredicha por modelo
450,"C/ CRISTOBAL DE MOURA, 84",Provençals del Poblenou,52.28,55.99,0.5532952563070317,88.03,-32.04,Infravalorada por score,0.6157227,96.69,-0.062427,Sobrepredicha por modelo
152,"C/ PUJADES, 121",el Poblenou,53.63,59.12,0.5801350683577665,90.79,-31.67,Infravalorada por score,0.524398,86.19,0.055737,Infrapredicha por modelo
486,"C/ PORTO, 35 | AV. ESTATUT DE CATALUNYA",Horta,21.16,2.21,0.2254001352569882,33.52,-31.31,Infravalorada por score,0.16559575,14.55,0.059804,Infrapredicha por modelo
272,"C/ CONCEPCIÓ ARENAL, 281",Sant Andreu,41.15,29.1,0.3648257577070373,60.04,-30.94,Infravalorada por score,0.2648616,42.36,0.099964,Infrapredicha por modelo
244,"C/ FELIP II, 214",el Congrés i els Indians,37.0,20.63,0.3038825002846408,51.57,-30.94,Infravalorada por score,0.2817977,46.22,0.022085,Infrapredicha por modelo
452,"GRAN VIA DE LES CORTS CATALANES, 1157 (D)",el Besòs i el Maresme,43.44,34.81,0.3891523162487944,65.56,-30.75,Infravalorada por score,0.4856279,80.48,-0.096476,Sobrepredicha por modelo
439,"RBLA. BADAL, 73 | C/ CONSTITUCIÓ",la Bordeta,48.93,48.16,0.4819528922930589,78.64,-30.48,Infravalorada por score,0.46641472,77.53,0.015538,Infrapredicha por modelo
464,"AV. RIO DE JANEIRO, 96",la Prosperitat,18.32,1.1,0.2161751992181627,31.49,-30.39,Infravalorada por score,0.2215435,32.04,-0.005368,Sobrepredicha por modelo
257,"C/ SANT ADRIÀ, 2-8",Sant Andreu,35.37,16.94,0.2830908085302165,47.33,-30.39,Infravalorada por score,0.35827374,60.96,-0.075183,Sobrepredicha por modelo
